player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year
J.D. McKissic,11047,HB,WAS,1,3,0,0,0.0,0,0,9,0,0,0,8.0,0.0,0,1,32,0,0,71.8,60.6,76.5,,21.9,81.2,51.3,60.0,4,0,54,7,21,4,0,0,7,10,0,9,8,2.67,3.0,2.57,3,2,2022
Tom Brady,698,QB,TB,1,3,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,0,30,1,0,28.7,69.5,79.2,76.5,,,31.7,60.0,0,0,0,0,0,30,0,0,0,3,0,-2,0,0.0,-0.7,,1,2,2022
Justice Hill,45865,HB,BLT,1,3,0,0,0.0,0,0,16,0,0,0,9.0,0.0,1,1,3,0,2,67.2,63.4,74.2,,83.4,53.7,62.0,59.8,13,0,0,0,5,5,0,0,0,3,0,16,9,3.0,5.3,0.0,1,2,2022
Trey Lance,91399,QB,SF,1,3,0,0,0.0,0,0,13,0,0,0,2.0,0.0,0,1,28,0,2,69.8,55.3,73.9,59.8,,,54.6,60.0,7,0,0,0,0,13,0,0,0,3,0,13,2,0.67,4.3,,0,2,2022
Taysom Hill,12112,TE,NO,1,3,0,0,0.0,0,0,14,0,0,0,4.0,0.0,1,1,20,0,3,67.2,56.6,72.7,,69.6,56.1,58.6,,13,0,0,0,2,3,0,0,0,3,0,14,4,1.33,4.7,0.0,0,2,2022
Kirk Cousins,7102,QB,MIN,1,0,1,0,0.0,0,0,0,0,0,0,,100.0,1,1,18,1,0,33.2,53.3,78.8,51.7,,,66.4,60.0,13,0,0,0,0,9,20,2,0,0,0,20,13,6.5,10.0,,0,2,2022
Justin Herbert,28237,QB,LAC,1,2,0,0,0.0,0,0,1,0,0,0,0.0,0.0,0,1,27,0,0,80.9,64.0,79.4,62.2,,60.0,64.7,60.0,2,0,0,0,1,22,0,0,0,2,0,1,0,0.0,0.5,0.0,0,2,2022
Alexander Mattison,45817,HB,MIN,1,2,3,0,0.0,0,0,8,1,2,3,10.0,500.0,0,0,18,0,2,68.7,55.7,76.2,,68.8,42.4,66.1,,5,0,6,3,16,2,0,0,5,5,0,8,10,5.0,4.0,0.38,0,2,2022
Travis Homer,45859,HB,SEA,1,2,0,0,0.0,0,0,9,0,0,0,4.0,0.0,0,2,29,0,0,69.4,69.4,78.8,,80.8,74.5,63.3,60.0,5,0,33,4,11,4,0,0,4,6,0,9,4,2.0,4.5,3.0,1,2,2022
Jamal Agnew,11920,WR,JAX,1,2,1,0,0.0,0,0,1,1,0,1,2.0,50.0,0,0,15,0,0,72.7,34.3,70.7,,,39.7,53.6,60.0,2,0,0,0,3,4,0,0,1,2,0,1,2,1.0,0.5,0.0,0,2,2022
Braxton Berrios,47961,WR,NYJ,1,2,1,1,86.4,19,0,22,0,0,1,13.0,325.0,1,1,22,0,0,72.1,47.9,73.6,,,53.2,59.1,32.5,19,0,0,0,10,5,0,0,0,2,0,22,13,6.5,11.0,0.0,0,2,2022
Davis Mills,52269,QB,HST,1,2,0,0,0.0,0,0,1,0,0,0,1.0,0.0,0,0,13,2,0,79.6,55.3,78.7,53.8,,,64.4,60.0,2,0,0,0,0,16,0,0,0,2,0,1,1,0.5,0.5,,1,2,2022
D'Onta Foreman,11844,HB,CAR,1,2,1,0,0.0,0,0,9,0,0,1,6.0,150.0,0,0,5,0,1,65.2,67.4,65.4,,,59.9,65.5,,7,0,0,0,1,2,0,0,0,2,0,9,6,3.0,4.5,0.0,1,2,2022
Patrick Mahomes,11765,QB,KC,1,2,0,0,0.0,0,0,-1,0,0,0,0.0,0.0,0,0,16,0,0,79.3,61.2,0.0,62.3,,,60.0,60.0,0,1,0,0,0,18,0,0,0,2,0,-1,0,0.0,-0.5,,0,2,2022
Deon Jackson,57189,HB,IND,1,2,1,0,0.0,0,0,-3,0,0,1,4.0,100.0,0,0,14,0,0,65.2,52.9,64.4,,,,55.0,,1,0,0,0,0,2,0,0,0,2,0,-3,4,2.0,-1.5,,2,2,2022
Carson Wentz,10636,QB,WAS,1,0,2,0,0.0,0,0,0,0,0,0,,100.0,1,2,32,1,0,80.9,57.4,0.0,55.4,,,74.0,60.0,18,2,0,0,0,19,23,2,0,0,0,23,37,18.5,11.5,,0,2,2022
Jared Goff,10635,QB,DET,1,2,0,0,0.0,0,0,-2,0,0,0,0.0,0.0,0,0,11,0,0,79.0,61.6,78.8,60.8,,,60.0,60.0,-1,0,0,0,0,24,0,0,0,2,0,-2,0,0.0,-1.0,,0,2,2022
Rachaad White,131633,HB,TB,1,2,0,0,0.0,0,0,1,1,0,0,2.0,0.0,0,0,30,0,1,65.2,38.3,71.4,,,29.0,53.9,60.0,2,0,0,0,6,3,0,0,1,2,0,1,2,1.0,0.5,0.0,1,2,2022
Kenneth Gainwell,77737,HB,PHI,1,2,0,0,0.0,0,0,7,1,1,0,6.0,100.0,0,1,24,0,0,67.8,57.3,75.2,,75.0,46.2,62.3,60.0,4,0,11,1,12,3,0,0,2,3,0,7,6,3.0,3.5,0.92,2,2,2022
Kyle Juszczyk,7912,FB,SF,1,2,0,0,0.0,0,0,1,0,0,0,1.0,0.0,0,1,28,0,0,65.2,50.5,78.6,,73.0,52.3,63.0,45.9,1,0,0,0,9,28,0,0,1,2,1,1,1,0.5,0.5,0.0,0,2,2022
Geno Smith,7820,QB,SEA,1,2,0,0,0.0,0,0,2,0,0,0,0.0,0.0,0,0,29,0,2,78.6,58.1,78.0,61.0,,59.0,49.9,60.0,3,1,0,0,1,14,0,0,0,2,0,2,0,0.0,1.0,0.0,0,2,2022
Isiah Pacheco,83747,HB,KC,1,2,0,0,0.0,0,0,6,0,0,0,4.0,0.0,0,0,16,0,2,65.2,59.8,68.1,,25.3,58.5,62.4,,6,0,0,0,2,2,0,0,0,2,0,6,4,2.0,3.0,0.0,0,2,2022
Amon-Ra St. Brown,84470,WR,DET,1,2,0,1,85.3,58,0,68,0,0,0,7.0,0.0,2,1,11,0,0,72.0,87.7,76.5,,,83.3,70.7,70.6,58,0,116,9,33,19,0,0,12,11,0,68,7,3.5,34.0,3.52,0,2,2022
Joe Flacco,4332,QB,NYJ,1,1,0,0,0.0,0,0,-1,0,0,0,0.0,0.0,0,1,22,2,0,80.2,79.6,79.4,77.3,,,64.7,60.0,7,0,0,0,0,21,7,1,0,1,0,6,14,7.0,3.0,,0,2,2022
Russell Wilson,7077,QB,DEN,1,1,0,0,0.0,0,0,-1,0,0,0,0.0,0.0,0,0,10,0,0,79.4,62.3,79.5,62.2,,,57.8,60.0,4,0,0,0,0,31,4,1,0,1,0,3,0,0.0,1.5,,0,2,2022
Tony Jones Jr.,40498,HB,NO,1,2,0,0,0.0,0,0,8,0,0,0,5.0,0.0,0,0,20,0,0,67.8,54.2,76.5,,71.5,54.8,49.9,,6,0,12,2,23,2,0,0,2,4,0,8,5,2.5,4.0,0.52,2,2,2022
Mitchell Trubisky,11757,QB,PIT,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,25,0,0,78.7,61.6,0.0,63.5,,,58.3,60.0,7,1,0,0,0,21,7,1,0,0,0,7,0,0.0,7.0,,0,2,2022
Scotty Miller,47481,WR,TB,1,1,0,0,0.0,0,0,8,0,0,0,8.0,0.0,0,1,30,0,0,67.4,64.4,77.0,,,62.5,62.8,56.5,8,0,34,3,19,9,0,0,8,4,0,8,8,8.0,8.0,1.79,0,2,2022
Jeff Driskel,10841,QB,HST,1,1,0,0,0.0,0,0,10,0,0,0,0.0,0.0,1,1,13,0,0,61.9,68.8,68.2,,,,63.5,60.0,10,0,0,0,0,3,0,0,0,1,0,10,0,0.0,10.0,,1,2,2022
Derek Watt,10832,FB,PIT,1,1,0,0,0.0,0,0,2,0,0,0,1.0,0.0,0,1,25,0,0,61.9,71.4,63.2,,,,62.4,,2,0,0,0,0,1,0,0,0,1,0,2,1,1.0,2.0,,0,2,2022
Matt Breida,12271,HB,NYG,1,1,0,0,0.0,0,0,-4,0,0,0,0.0,0.0,0,0,21,0,0,61.9,57.2,72.9,,68.7,55.7,59.4,60.0,-4,0,0,0,5,3,0,0,0,1,0,-4,0,0.0,-4.0,0.0,1,2,2022
Ashton Dulin,91479,WR,IND,1,1,0,0,0.0,0,0,3,0,0,0,1.0,0.0,0,0,14,0,0,69.1,77.5,76.7,,,75.0,59.2,84.6,3,0,79,5,25,7,0,0,6,6,0,3,1,1.0,3.0,3.16,0,2,2022
Tua Tagovailoa,60326,QB,MIA,1,1,0,0,0.0,0,0,1,0,0,0,1.0,0.0,0,1,17,0,0,80.9,85.2,79.3,83.6,,,60.3,60.0,1,0,0,0,0,18,0,0,0,1,0,1,1,1.0,1.0,,0,2,2022
Cooper Rush,12324,QB,DAL,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,9,0,0,78.4,53.6,78.8,53.8,,,58.3,60.0,2,0,0,0,0,25,2,1,0,0,0,2,0,0.0,2.0,,0,2,2022
Jerry Jeudy,61103,WR,DEN,1,1,0,0,0.0,0,0,1,0,0,0,1.0,0.0,0,1,10,0,0,64.6,64.9,70.9,,,68.5,57.6,58.7,1,0,11,1,5,4,0,0,3,2,0,1,1,1.0,1.0,2.2,0,2,2022
CeeDee Lamb,61570,WR,DAL,1,1,0,0,0.0,0,0,6,0,2,0,2.0,50.0,0,1,9,0,0,69.5,78.7,79.0,,,77.8,,59.7,6,0,75,7,33,23,0,0,10,8,0,6,2,2.0,6.0,2.27,0,2,2022
Jalen Reagor,61697,WR,MIN,1,1,0,1,100.0,17,0,17,0,0,0,0.0,0.0,1,1,18,0,0,71.2,59.1,72.1,,,55.8,62.0,60.0,17,0,7,1,8,2,0,0,2,2,0,17,0,0.0,17.0,0.88,0,2,2022
Montrell Washington,64310,WR,DEN,1,1,1,1,100.0,19,0,19,0,0,1,27.0,2700.0,1,1,10,0,0,74.0,72.4,72.4,,,54.8,67.9,53.0,19,0,0,0,7,5,0,0,1,1,0,19,27,27.0,19.0,0.0,0,2,2022
Mark Andrews,47436,TE,BLT,1,1,0,0,0.0,0,0,3,1,1,0,2.0,20.0,0,1,3,0,0,71.3,86.7,76.9,,,82.5,62.6,70.4,3,0,104,9,26,19,0,0,11,10,0,3,2,2.0,3.0,4.0,0,2,2022
Gunner Olszewski,95015,WR,PIT,1,1,0,1,100.0,18,0,18,0,0,0,10.0,0.0,1,1,25,0,0,66.2,65.5,73.5,,,,63.0,52.0,18,0,0,0,0,8,0,0,0,1,0,18,10,10.0,18.0,,0,2,2022
Michael Burton,9601,FB,KC,1,1,0,0,0.0,0,0,6,0,0,0,3.0,0.0,0,1,16,0,0,64.6,66.5,71.2,,,65.4,61.4,58.9,6,0,2,1,1,6,0,0,1,2,0,6,3,3.0,6.0,2.0,0,2,2022
Jameis Winston,9434,QB,NO,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,20,1,0,30.0,46.9,79.1,48.2,,,56.8,60.2,2,0,0,0,0,17,2,1,0,0,0,2,0,0.0,2.0,,0,2,2022
Derek Carr,8671,QB,LV,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,23,0,0,79.6,59.2,79.2,59.1,,,58.3,60.0,9,0,0,0,0,23,9,1,0,0,0,9,0,0.0,9.0,,0,2,2022
Mecole Hardman,42683,WR,KC,1,1,0,0,0.0,0,0,-4,1,0,0,0.0,0.0,0,0,16,0,0,67.4,70.4,77.7,,,71.0,58.7,58.2,-4,0,49,3,19,9,0,0,4,4,0,-4,0,0.0,-4.0,2.58,1,2,2022
Garrett Wilson,97405,WR,NYJ,1,1,1,0,0.0,0,0,-2,1,1,1,3.0,66.7,0,0,22,0,0,70.8,78.9,78.5,,70.2,78.0,59.2,60.1,-2,0,102,8,36,6,0,0,14,9,0,-2,3,3.0,-2.0,2.83,0,2,2022
Zamir White,83665,HB,LV,1,1,0,0,0.0,0,0,2,0,0,0,4.0,0.0,0,0,23,0,1,67.2,62.9,69.6,,77.0,,60.9,60.0,2,0,0,0,0,4,0,0,0,1,0,2,4,4.0,2.0,,0,2,2022
Andrew Beck,47121,FB,DEN,1,1,1,0,0.0,0,0,-1,0,0,1,2.0,200.0,0,0,10,0,0,61.9,50.0,76.1,,73.4,52.6,60.0,52.7,-1,0,0,0,5,11,0,0,0,1,0,-1,2,2.0,-1.0,0.0,0,2,2022
Josh Allen,46601,QB,BUF,1,0,1,0,0.0,0,0,0,0,0,0,,100.0,1,1,4,0,0,79.5,79.0,78.4,76.3,,,63.9,60.0,10,1,0,0,0,9,10,1,0,0,0,10,18,18.0,10.0,,0,2,2022
KaVontae Turpin,47658,WR,DAL,1,1,0,0,0.0,0,0,3,0,0,0,2.0,0.0,0,0,9,0,0,73.2,56.2,67.8,,,60.0,59.2,60.5,3,0,0,0,1,4,0,0,0,1,0,3,2,2.0,3.0,0.0,0,2,2022
Alec Ingold,34934,FB,MIA,1,1,0,0,0.0,0,0,1,0,0,0,1.0,0.0,0,1,17,0,0,66.2,76.8,79.9,,70.2,63.4,60.0,83.6,1,0,15,2,15,9,0,0,2,3,0,1,1,1.0,1.0,1.0,0,2,2022
Brandon Powell,48036,WR,LA,1,1,0,0,0.0,0,0,-26,0,0,0,9.0,0.0,0,0,26,0,0,69.3,58.6,73.9,,,58.1,60.0,60.0,-26,0,6,1,4,2,0,0,1,2,0,-26,9,9.0,-26.0,1.5,0,2,2022
Nyheim Hines,48103,HB,IND,1,1,0,0,,0,0,0,0,2,0,1.0,40.0,0,0,14,0,0,68.3,67.2,77.7,,,70.2,59.7,,0,0,37,4,14,1,0,0,5,5,0,0,1,1.0,0.0,2.64,1,2,2022
Courtland Sutton,48164,WR,DEN,1,1,0,0,0.0,0,0,5,0,0,0,2.0,0.0,0,0,10,0,0,70.8,81.6,0.0,,,80.8,63.1,74.1,5,1,122,7,33,27,0,0,11,8,0,5,2,2.0,5.0,3.7,0,2,2022
Terry McLaurin,48229,WR,WAS,1,1,0,0,0.0,0,0,7,1,0,0,2.0,0.0,0,1,32,0,0,68.3,63.6,81.3,,,61.9,63.1,61.0,7,0,75,4,47,17,0,0,7,5,0,7,2,2.0,7.0,1.6,0,2,2022
Ryan Tannehill,7014,QB,TEN,1,1,0,0,0.0,0,0,2,0,0,0,2.0,0.0,0,1,31,0,0,76.4,44.1,77.3,41.8,,,62.6,60.0,2,0,0,0,0,15,0,0,0,1,0,2,2,2.0,2.0,,0,2,2022
Patrick Ricard,48862,FB,BLT,1,1,0,0,0.0,0,0,5,0,0,0,4.0,0.0,0,1,3,0,0,61.9,53.0,79.3,,27.3,50.5,61.4,59.1,5,0,0,0,9,21,0,0,0,1,0,5,4,4.0,5.0,0.0,0,2,2022
Kyle Pitts,83964,TE,ATL,1,1,0,0,,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,64.0,50.4,79.7,,70.4,55.9,59.8,36.4,0,0,19,2,30,22,0,0,3,3,0,0,0,0.0,0.0,0.63,1,2,2022
Samaje Perine,11869,HB,CIN,1,1,0,0,0.0,0,0,2,0,1,0,1.0,50.0,0,0,7,0,0,64.6,56.6,73.9,,81.0,58.5,56.3,60.0,2,0,8,1,8,2,0,0,1,2,0,2,1,1.0,2.0,1.0,1,2,2022
Gary Brightwell,57133,HB,NYG,1,1,0,0,0.0,0,0,14,0,0,0,3.0,0.0,1,1,21,0,0,61.9,64.9,65.5,,,,61.4,,14,0,0,0,0,1,0,0,0,1,0,14,3,3.0,14.0,,0,2,2022
Ja'Marr Chase,84270,WR,CIN,1,1,0,0,0.0,0,0,4,1,0,0,1.0,0.0,0,0,7,0,0,69.1,65.2,79.4,,,66.4,56.6,56.4,4,0,54,5,45,20,0,0,8,6,0,4,1,1.0,4.0,1.2,0,2,2022
Caleb Huntley,57156,HB,ATL,1,1,0,0,0.0,0,0,3,0,0,0,2.0,0.0,0,0,2,0,0,61.9,53.0,67.6,,67.1,59.6,56.3,,3,0,0,0,1,1,0,0,0,1,0,3,2,2.0,3.0,0.0,1,2,2022
Curtis Samuel,11795,WR,WAS,1,1,1,1,100.0,21,0,21,0,2,1,16.0,600.0,1,1,32,0,0,70.3,61.6,78.6,,,62.7,63.1,35.2,21,0,78,7,47,17,0,0,8,8,0,21,16,16.0,21.0,1.66,0,2,2022
Elijah Moore,84302,WR,NYJ,1,1,0,0,0.0,0,0,-6,0,0,0,0.0,0.0,0,0,22,0,0,67.4,62.0,78.8,,,62.8,58.7,54.2,-6,0,41,3,44,15,0,0,5,4,0,-6,0,0.0,-6.0,0.93,0,2,2022
Demetric Felton,40568,WR,CLV,1,1,1,0,0.0,0,0,-4,0,0,1,1.0,50.0,0,0,8,0,0,71.2,56.0,71.9,,,60.5,59.2,52.5,-4,0,3,1,1,11,0,0,1,2,0,-4,1,1.0,-4.0,3.0,0,2,2022
Christian McCaffrey,11763,HB,CAR,1,25,3,1,16.7,18,0,108,0,0,3,62.0,27.6,2,5,5,0,19,79.1,79.6,75.4,,46.5,64.3,78.9,60.0,18,0,7,2,19,28,0,0,4,27,0,108,62,2.48,4.3,0.37,6,3,2022
Nick Chubb,45783,HB,CLV,1,23,7,2,46.0,52,0,113,0,0,7,102.0,135.0,3,4,8,0,14,77.9,76.9,76.3,,81.6,51.2,78.3,60.0,36,0,0,0,14,25,0,0,1,23,1,113,102,4.43,4.9,0.0,9,3,2022
Jonathan Taylor,57488,HB,IND,1,21,4,0,0.0,0,0,71,0,1,4,53.0,52.6,1,3,14,0,5,77.8,63.9,77.9,,80.6,65.3,61.6,60.0,13,0,20,3,25,23,0,0,4,24,0,71,53,2.52,3.4,0.8,15,3,2022
Khalil Herbert,41668,HB,CHI,1,20,7,2,45.2,71,0,157,0,0,7,132.0,210.0,6,8,6,0,12,77.4,79.4,75.7,,,57.6,80.2,60.0,52,0,12,2,14,24,0,0,2,22,2,157,132,6.6,7.9,0.86,8,3,2022
Derrick Henry,10679,HB,TEN,1,20,6,1,28.2,24,0,85,0,0,6,74.0,88.8,4,5,31,0,10,78.1,73.0,74.3,,77.7,82.3,68.0,60.0,24,0,58,5,13,22,0,0,5,25,1,85,74,3.7,4.3,4.46,10,3,2022
Jamaal Williams,11889,HB,DET,1,20,3,1,17.2,15,0,87,0,1,3,55.0,50.0,4,5,11,0,16,77.4,86.7,0.0,,81.3,68.5,86.3,,15,1,20,2,8,20,0,0,2,22,2,87,55,2.75,4.4,2.5,4,3,2022
Dameon Pierce,83659,HB,HST,1,20,2,1,29.6,24,0,81,0,2,2,74.0,67.3,1,5,13,2,14,19.1,57.3,73.4,,79.4,80.3,53.1,,24,0,21,2,9,20,0,0,2,22,1,81,74,3.7,4.1,2.33,6,3,2022
James Robinson,22425,HB,JAX,1,17,2,2,70.0,70,0,100,0,0,2,46.0,27.1,3,4,15,0,7,76.7,66.1,79.7,,77.1,58.7,66.9,60.0,50,0,16,3,21,20,0,0,3,20,1,100,46,2.71,5.9,0.76,7,3,2022
Cordarrelle Patterson,7810,HB,ATL,1,17,2,4,66.0,93,0,141,0,0,2,56.0,36.6,4,5,2,0,2,76.4,81.0,75.6,,77.2,59.2,81.2,60.0,40,0,12,1,12,18,0,0,1,18,1,141,56,3.29,8.3,1.0,15,3,2022
Dalvin Cook,11796,HB,MIN,1,17,4,0,0.0,0,0,96,0,0,4,53.0,73.4,3,7,18,1,5,24.3,69.5,76.1,,77.5,52.3,69.3,,13,0,0,0,14,17,0,0,0,17,1,96,53,3.12,5.6,0.0,12,3,2022
Najee Harris,57121,HB,PIT,1,15,4,0,0.0,0,0,56,0,0,4,39.0,57.8,2,5,25,1,6,76.1,66.1,80.0,,47.2,63.7,67.8,60.0,10,0,5,3,15,18,0,0,3,18,1,56,39,2.6,3.7,0.33,9,3,2022
Javonte Williams,77803,HB,DEN,1,15,5,1,27.6,16,0,58,1,0,5,47.0,87.0,1,1,10,0,4,76.1,52.0,74.2,,,38.6,57.2,60.0,16,0,2,3,13,18,0,0,5,18,0,58,47,3.13,3.9,0.15,10,3,2022
Alvin Kamara,11822,HB,NO,1,15,2,1,44.3,27,0,61,1,1,2,33.0,38.8,1,3,20,1,7,24.2,46.6,76.5,,18.0,42.0,53.4,60.0,27,0,12,2,26,16,0,0,5,17,0,61,33,2.2,4.1,0.46,8,3,2022
Miles Sanders,40555,HB,PHI,1,15,1,0,0.0,0,0,46,0,0,1,42.0,17.5,1,2,24,0,8,75.7,54.2,77.7,,,52.3,55.5,60.0,13,0,-2,1,19,20,0,0,1,16,0,46,42,2.8,3.1,-0.11,7,3,2022
Ezekiel Elliott,10638,HB,DAL,1,15,5,1,37.0,27,0,73,0,0,5,43.0,89.6,1,4,9,0,10,76.0,74.2,75.5,,37.7,53.3,78.8,59.4,27,0,2,1,21,18,0,0,1,16,1,73,43,2.87,4.9,0.1,4,3,2022
Saquon Barkley,45791,HB,NYG,1,14,2,1,44.4,36,0,81,0,2,2,61.0,96.8,1,2,21,0,5,76.1,61.2,81.5,,45.7,54.8,65.6,59.8,36,0,45,4,35,18,0,0,4,18,1,81,61,4.36,5.8,1.29,9,3,2022
Rashaad Penny,27414,HB,SEA,1,14,2,0,0.0,0,0,66,0,0,2,32.0,30.5,3,5,29,0,2,75.9,66.7,76.3,,32.0,56.0,72.9,60.0,14,0,3,1,25,17,0,0,1,15,0,66,32,2.29,4.7,0.12,12,3,2022
Tony Pollard,27126,HB,DAL,1,13,5,1,43.8,46,0,105,0,0,5,65.0,192.3,4,5,9,0,10,75.1,80.2,76.2,,74.4,52.6,81.2,60.0,46,0,0,0,9,18,0,0,0,13,0,105,65,5.0,8.1,0.0,3,3,2022
Josh Jacobs,45953,HB,LV,1,13,2,0,0.0,0,0,66,0,1,2,47.0,60.3,3,4,23,1,6,24.4,59.0,74.7,,7.5,67.8,58.0,60.0,13,0,31,5,27,14,0,0,5,18,0,66,47,3.62,5.1,1.15,2,3,2022
James Conner,11860,HB,ARZ,1,13,5,0,0.0,0,0,39,1,1,5,27.0,77.9,1,7,1,0,5,75.8,72.4,78.9,,76.6,56.3,75.2,,10,0,18,3,21,14,0,0,5,16,0,39,27,2.08,3.0,0.86,7,3,2022
Travis Etienne,57185,HB,JAX,1,13,3,0,0.0,0,0,45,0,1,3,32.0,61.5,0,3,15,0,5,75.4,77.8,76.5,,23.8,85.0,73.9,60.0,9,0,30,3,14,16,0,0,3,16,0,45,32,2.46,3.5,2.14,8,3,2022
Aaron Jones,11937,HB,GB,1,12,3,0,0.0,0,0,36,0,0,3,29.0,48.3,1,1,12,1,3,23.2,55.5,81.0,,80.6,40.0,61.5,60.0,10,0,11,3,22,14,0,0,4,15,0,36,29,2.42,3.0,0.5,9,3,2022
Antonio Gibson,78050,HB,WAS,1,12,0,0,0.0,0,0,38,0,0,0,30.0,0.0,1,3,32,0,6,74.5,66.6,76.4,,77.9,54.7,68.4,60.0,11,0,2,1,15,14,0,0,1,13,1,38,30,2.5,3.2,0.13,6,3,2022
Cam Akers,57206,HB,LA,1,12,2,0,0.0,0,0,63,0,0,2,37.0,51.4,3,3,26,1,6,22.4,66.3,71.9,,80.8,56.2,64.6,60.0,14,0,0,0,4,16,0,0,0,12,1,63,37,3.08,5.3,0.0,6,3,2022
A.J. Dillon,57165,HB,GB,1,12,0,0,0.0,0,0,32,1,0,0,22.0,0.0,0,2,12,0,5,74.8,54.1,80.5,,76.5,37.5,62.6,38.9,7,0,6,2,14,17,0,0,3,14,0,32,22,1.83,2.7,0.43,7,3,2022
Rhamondre Stevenson,98689,HB,NE,1,12,4,2,46.6,34,0,73,0,1,4,66.0,171.9,3,5,19,0,5,75.8,73.1,77.0,,44.8,68.9,74.0,,18,0,28,4,25,13,0,0,5,16,1,73,66,5.5,6.1,1.12,7,3,2022
Melvin Gordon III,9448,HB,DEN,1,12,1,0,0.0,0,0,26,1,0,1,19.0,9.3,0,3,10,2,6,17.0,38.2,75.2,,74.4,27.9,46.9,,6,0,29,5,13,12,0,0,6,17,1,26,19,1.58,2.2,2.23,5,3,2022
Jeff Wilson Jr.,29413,HB,SF,1,12,1,2,73.3,55,0,75,0,0,1,65.0,36.1,2,3,28,1,4,24.1,49.3,75.9,,26.1,29.7,61.8,57.5,37,0,31,3,19,18,0,0,3,15,0,75,65,5.42,6.3,1.63,8,3,2022
Leonard Fournette,11759,HB,TB,1,12,1,0,0.0,0,0,35,0,0,1,23.0,11.3,0,1,30,0,7,76.0,63.4,77.1,,29.5,71.7,62.9,60.0,6,0,35,5,32,15,0,0,6,17,0,35,23,1.92,2.9,1.09,3,3,2022
Kareem Hunt,11841,HB,CLV,1,12,1,0,0.0,0,0,47,1,2,1,28.0,46.7,1,3,8,0,6,75.0,56.3,78.9,,,56.1,57.5,60.0,11,0,14,3,17,15,0,0,4,15,0,47,28,2.33,3.9,0.82,5,3,2022
Joe Mixon,11803,HB,CIN,1,12,1,0,0.0,0,0,24,1,1,1,19.0,21.1,0,2,7,0,6,75.0,53.5,77.3,,72.8,46.2,58.0,60.0,9,0,14,3,25,16,0,0,6,15,0,24,19,1.58,2.0,0.56,6,3,2022
Damien Harris,35134,HB,NE,1,11,2,0,0.0,0,0,41,0,1,2,31.0,65.0,1,3,19,0,6,74.4,66.0,74.9,,77.3,65.0,64.4,,10,0,5,2,11,11,0,0,3,13,1,41,31,2.82,3.7,0.45,4,3,2022
Lamar Jackson,46416,QB,BLT,1,10,3,3,70.1,75,0,99,0,0,2,25.0,50.0,4,6,3,0,7,80.2,85.6,78.8,74.5,,,88.0,60.0,38,0,0,0,0,25,8,1,0,10,1,107,42,3.82,9.7,,0,3,2022
Michael Carter,57337,HB,NYJ,1,11,3,0,0.0,0,0,39,0,1,3,26.0,78.8,0,2,22,0,5,74.1,62.8,79.4,,81.2,56.2,62.3,,9,0,7,1,19,11,0,0,2,12,0,39,26,2.36,3.5,0.37,6,3,2022
Jalen Hurts,40291,QB,PHI,1,6,0,0,0.0,0,0,7,0,0,0,6.0,0.0,0,1,24,0,1,80.6,63.7,79.2,70.9,,,42.1,60.0,5,0,0,0,0,27,13,4,0,6,0,20,11,1.1,2.0,,2,3,2022
Devin Singletary,40485,HB,BUF,1,9,1,0,0.0,0,0,13,0,3,1,18.0,44.4,0,1,4,0,6,75.2,72.1,78.3,,56.9,85.3,66.2,60.0,6,0,78,9,39,12,0,0,10,18,0,13,18,2.0,1.4,2.0,3,3,2022
Daniel Jones,39395,QB,NYG,1,2,3,0,0.0,0,0,17,0,0,0,5.0,0.0,5,7,21,0,0,81.2,64.5,0.0,59.7,,,75.6,60.0,17,2,0,0,0,18,62,7,0,2,0,79,45,5.0,8.8,,0,3,2022
Samaje Perine,11869,HB,CIN,1,9,3,0,0.0,0,0,47,0,0,3,43.0,130.3,0,3,7,0,1,73.4,84.5,74.0,,76.9,74.2,86.3,44.4,7,0,14,2,6,13,0,0,2,11,0,47,43,4.78,5.2,2.33,8,3,2022
Justin Fields,82118,QB,CHI,1,5,4,0,0.0,0,1,4,0,0,0,3.0,0.0,1,2,6,2,2,77.7,56.3,79.0,48.4,,,70.5,60.0,29,1,0,0,0,37,42,3,0,5,0,46,54,6.75,5.8,,0,3,2022
Raheem Mostert,9783,HB,MIA,1,8,1,0,0.0,0,0,11,0,0,1,13.0,20.3,0,2,17,0,4,74.5,48.2,76.5,,50.9,53.3,50.4,60.0,9,0,0,0,11,10,0,0,1,8,0,11,13,1.63,1.4,0.0,4,3,2022
